Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
14,tt3322312,9/19/2016,9/19/2016,,Daredevil,https://www.imdb.com/title/tt3322312/,tvSeries,8.6,54,2015,"Action, Crime, Drama, Fantasy, Sci-Fi, Thriller",370148,4/2/2015,
15,tt10048342,5/8/2021,5/8/2021,,The Queen's Gambit,https://www.imdb.com/title/tt10048342/,tvMiniSeries,8.6,395,2020,Drama,317284,10/23/2020,
16,tt5290382,10/16/2017,10/16/2017,,Mindhunter,https://www.imdb.com/title/tt5290382/,tvSeries,8.6,60,2017,"Crime, Drama, Thriller",229027,10/13/2017,
17,tt6763664,10/31/2018,10/31/2018,,The Haunting of Hill House,https://www.imdb.com/title/tt6763664/,tvMiniSeries,8.6,572,2018,"Drama, Horror, Mystery, Thriller",190538,10/7/2018,
18,tt5189670,9/19/2016,9/19/2016,,Making a Murderer,https://www.imdb.com/title/tt5189670/,tvSeries,8.6,60,2015,"Documentary, Crime",88259,12/18/2015,
19,tt6077448,12/16/2018,12/16/2018,,Sacred Games,https://www.imdb.com/title/tt6077448/,tvSeries,8.6,50,2018,"Action, Crime, Drama, Thriller",78397,6/28/2018,
20,tt6385540,5/8/2021,5/8/2021,,Hilda,https://www.imdb.com/title/tt6385540/,tvSeries,8.6,24,2018,"Animation, Adventure, Comedy, Family, Fantasy",7661,2/25/2018,
21,tt5675620,11/19/2017,11/19/2017,,The Punisher,https://www.imdb.com/title/tt5675620/,tvSeries,8.5,53,2017,"Action, Crime, Drama, Thriller",190792,11/6/2017,
22,tt9561862,3/31/2019,3/31/2019,,"Love, Death & Robots",https://www.imdb.com/title/tt9561862/,tvSeries,8.5,15,2019,"Animation, Short, Comedy, Fantasy, Horror, Sci-Fi",113986,3/15/2019,
23,tt0290988,9/19/2016,9/19/2016,,Trailer Park Boys,https://www.imdb.com/title/tt0290988/,tvSeries,8.4,30,2001,"Comedy, Crime",38290,4/22/2001,
24,tt1734135,9/20/2017,9/20/2017,,Trollhunters,https://www.imdb.com/title/tt1734135/,tvSeries,8.5,23,2016,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy",14013,12/23/2016,
25,tt4295140,9/19/2016,9/19/2016,,Chef's Table,https://www.imdb.com/title/tt4295140/,tvSeries,8.5,50,2015,Documentary,13871,2/12/2015,
26,tt5071412,7/25/2017,7/25/2017,,Ozark,https://www.imdb.com/title/tt5071412/,tvSeries,8.4,60,2017,"Crime, Drama, Thriller",199757,7/21/2017,
27,tt4179452,4/2/2017,4/2/2017,,The Last Kingdom,https://www.imdb.com/title/tt4179452/,tvSeries,8.4,60,2015,"Action, Drama, History",91215,10/10/2015,
